RowNumber,Z,Z_max_ok,AtomicWeight_max_ok,AtomicWeight_nonnull_ok,Etymology_nonnull_ok,RelativeAtomicMass_max_ok,RelativeAtomicMass_nonnull_ok,MeltingPointC_nonnull_ok,MeltingPointKelvin_nonnull_ok,BoilingPointC_nonnull_ok,BoilingPointF_nonnull_ok,Density_max_ok,Density_nonnull_ok,n_failures
2,2,true,true,true,true,true,true,false,false,true,true,true,true,2
93,93,false,true,true,true,true,true,true,true,true,true,true,true,1
94,94,false,false,true,true,false,true,true,true,true,true,true,true,3
95,95,false,false,true,true,false,true,true,true,true,true,true,true,3
96,96,false,false,true,true,false,true,true,true,true,true,true,true,3
97,97,false,false,true,true,false,true,true,true,true,true,true,true,3
98,98,false,false,true,true,false,true,true,true,true,true,true,true,3
99,99,false,false,true,true,false,true,true,true,false,false,true,true,5
100,100,false,false,true,true,false,true,false,false,false,false,,false,8
101,101,false,false,true,true,false,true,false,false,false,false,,false,8
102,102,false,false,true,true,false,true,false,false,false,false,,false,8
103,103,false,false,true,true,false,true,false,false,false,false,true,true,7
104,104,false,false,true,true,false,true,false,false,false,false,true,true,7
105,105,false,false,true,true,false,true,false,false,false,false,false,true,8
106,106,false,false,true,true,false,true,false,false,false,false,false,true,8
107,107,false,false,true,true,false,true,false,false,false,false,false,true,8
108,108,false,false,true,true,false,true,false,false,false,false,false,true,8
109,109,false,false,true,true,false,true,false,false,false,false,false,true,8
110,110,false,false,true,true,false,true,false,false,false,false,true,true,7
111,111,false,false,true,true,false,true,false,false,false,false,true,true,7
112,112,false,false,true,true,false,true,false,false,false,false,true,true,7
113,113,false,false,true,true,false,true,false,false,false,false,true,true,7
114,114,false,false,true,true,false,true,false,false,false,false,true,true,7
115,115,false,false,true,true,false,true,false,false,false,false,true,true,7
116,116,false,false,true,true,false,true,false,false,false,false,true,true,7
117,117,false,,false,false,,false,false,false,false,false,,false,9
118,118,false,false,true,true,false,true,false,false,false,false,,false,8
