Index,Z,Z_max_ok,Name_max_length_ok,Symbol_max_length_ok,AtomicWeight_max_ok,AtomicWeight_nonnull_ok,Etymology_max_length_ok,Etymology_nonnull_ok,RelativeAtomicMass_max_ok,RelativeAtomicMass_nonnull_ok,MeltingPointC_nonnull_ok,MeltingPointKelvin_nonnull_ok,BoilingPointC_nonnull_ok,BoilingPointF_nonnull_ok,Density_max_ok,Density_nonnull_ok,n_failures
1,2,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,2
92,93,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,1
93,94,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,3
94,95,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,3
95,96,false,true,true,false,true,false,true,false,true,true,true,true,true,true,true,4
96,97,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,3
97,98,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,3
98,99,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,5
99,100,false,true,true,false,true,true,true,false,true,false,false,false,false,,false,8
100,101,false,true,true,false,true,true,true,false,true,false,false,false,false,,false,8
101,102,false,true,true,false,true,true,true,false,true,false,false,false,false,,false,8
102,103,false,true,true,false,true,true,true,false,true,false,false,false,false,true,true,7
103,104,false,false,true,false,true,true,true,false,true,false,false,false,false,true,true,8
104,105,false,true,true,false,true,true,true,false,true,false,false,false,false,false,true,8
105,106,false,true,true,false,true,true,true,false,true,false,false,false,false,false,true,8
106,107,false,true,true,false,true,true,true,false,true,false,false,false,false,false,true,8
107,108,false,true,true,false,true,true,true,false,true,false,false,false,false,false,true,8
108,109,false,true,true,false,true,true,true,false,true,false,false,false,false,false,true,8
109,110,false,true,true,false,true,true,true,false,true,false,false,false,false,true,true,7
110,111,false,true,true,false,true,true,true,false,true,false,false,false,false,true,true,7
111,112,false,true,false,false,true,true,true,false,true,false,false,false,false,true,true,8
112,113,false,true,false,false,true,true,true,false,true,false,false,false,false,true,true,8
113,114,false,true,false,false,true,true,true,false,true,false,false,false,false,true,true,8
114,115,false,true,false,false,true,true,true,false,true,false,false,false,false,true,true,8
115,116,false,true,false,false,true,true,true,false,true,false,false,false,false,true,true,8
116,117,false,true,false,,false,,false,,false,false,false,false,false,,false,10
117,118,false,true,false,false,true,true,true,false,true,false,false,false,false,,false,9
