RowNumber,n_failures
1,1
2,1
3,1
4,1
5,1
6,1
43,1
494,1
1092,1
1272,1
2770,1
3025,1
3153,1
3369,1
3563,8
3833,1
4156,1
4725,1
4848,1
5561,1
6634,1
7069,1
7523,1
8359,1
8937,1
9294,1
9314,1
9579,1
9792,1
10020,1
10283,1
11216,2
11914,1
12307,1
12376,1
13036,1
13288,1
14554,1
14737,4
15333,1
15733,1
15809,1
16332,2
16587,1
17323,1
17536,1
17665,4
18283,1
18618,1
18924,1
19741,1
20214,1
20394,1
20448,1
20798,1
21602,2
21671,1
21821,1
21897,1
21979,1
22002,1
22153,1
22467,1
22903,1
23710,1
24414,1
24661,1
24951,1
24952,1
24953,1
24954,1
24955,1
24956,1
24957,1
24958,1
24959,1
24960,1
24961,1
24962,1
24963,1
24964,1
24965,1
24966,1
24967,1
24968,1
24969,1
24970,1
24971,1
24972,1
24973,1
24974,1
24975,1
24976,1
24977,1
24978,1
24979,1
24980,1
24981,1
24982,1
24983,1
24984,1
24985,1
24986,1
24987,1
24988,1
24989,1
24990,1
24991,1
24992,1
24993,1
24994,1
24995,1
24996,1
24997,1
24998,1
24999,1
25000,1
