i,r,random,b,i_square,r_square,s
0,0.0,15,False,0,0.0,result 0.0
1,1.11111111111,0,False,1,1.23456790123,result 1.2346
2,2.22222222222,1,False,4,4.93827160494,result 4.9383
3,3.33333333333,11,False,9,11.1111111111,result 11.1111
4,4.44444444444,17,False,16,19.7530864198,result 19.7531
5,5.55555555556,12,False,25,30.8641975309,result 30.8642
6,6.66666666667,17,False,36,44.4444444444,result 44.4444
7,7.77777777778,6,False,49,60.4938271605,result 60.4938
8,8.88888888889,13,False,64,79.012345679,result 79.0123
9,10.0,7,False,81,100.0,result 100.0
10,11.1111111111,13,True,100,123.456790123,result 123.4568
11,12.2222222222,10,True,121,149.382716049,result 149.3827
12,13.3333333333,8,True,144,177.777777778,result 177.7778
13,14.4444444444,14,True,169,208.641975309,result 208.642
14,15.5555555556,16,True,196,241.975308642,result 241.9753
15,16.6666666667,13,True,225,277.777777778,result 277.7778
16,17.7777777778,2,True,256,316.049382716,result 316.0494
17,18.8888888889,4,True,289,356.790123457,result 356.7901
18,20.0,16,True,324,400.0,result 400.0
19,21.1111111111,16,True,361,445.679012346,result 445.679
