SITE.ID	sed	temp
00001WSE	0.8269998	 6.4
00002CSR	1.27061  	NA
00002REM	1.337553 	NA
00002WSE	1.441957 	15.5
00003CSR	1.550784 	13.2
00003REM	1.00393  	NA
00003WSE	1.122049 	16.4
00004CSR	1.239641 	14.6
00004REM	0.6661775	NA
00005REM	1.322219 	NA
00006CSR	0.7563228	NA
00006REM	1.191603 	NA
00007CSR	1.00393  	14.9
00007REM	0.6661775	15  
00008REM	0.4045706	10.5
00009CSR	1.126487 	NA
00009REM	0        	NA
00010CSR	1.632505 	NA
00010REM	0.6661775	12.8
00010WSE	1.258706 	15  
00012CSR	1.322219 	14.4
00012REM	0.449969 	 8.9
00013CSR	1.322219 	16.8
00013REM	0        	NA
00014CSR	0.8098657	NA
00014REM	0        	13.2
00015CSR	1.184286 	NA
00016REM	0.9176487	13.1
00017CSR	1        	13.4
00017REM	0.6661775	13.7
00018CSR	0.9809768	15.3
00018REM	0.8098657	NA
00019CSR	1.738017 	11.3
00019REM	0        	 9.9
00020CSR	1.009908 	10.2
00020REM	1.863323 	NA
00021REM	0.8846066	 9.4
00022REM	0.9176487	12.3
00025CSR	0.4631105	NA
00025REM	1.137584 	NA
00026CSR	1.359926 	NA
00026REM	1.391577 	13.4
00027CSR	1.484639 	13.1
00027REM	0        	12.1
00028REM	1.137584 	 7.6
00029REM	0        	NA
00030REM	0        	10.7
00031CSR	1.258706 	 9.1
00031REM	0.9176487	 7.7
00032REM	0.8098657	11.2
00033CSR	1.78533  	NA
00033REM	1.07228  	 8.9
00034CSR	1.210535 	NA
00034REM	0.9176487	 9.7
00035CSR	1.559165 	17.8
00035REM	1.00393  	 8.3
00036CSR	1.059798 	NA
00036REM	0.69897  	 8.5
00037CSR	1.497982 	17.2
00038CSR	0.5862657	NA
00040CSR	0.4686054	11.8
00041CSR	0.8269998	12.5
00042CSR	1.156347 	NA
00044CSR	1.882172 	15.6
00045CSR	1.510928 	13.1
00047CSR	1.764496 	13.3
00048CSR	0.2905646	NA
00049CSR	0.2905646	12.2
00050CSR	1.48192  	NA
00051CSR	0.2946588	NA
00052CSR	1.094421 	NA
00053CSR	0.8269998	17.5
00055CSR	0        	19.6
00056CSR	0.2905646	12.5
00057CSR	1.094421 	NA
00058CSR	1.95217  	16.8
00059CSR	0.5862657	NA
00060CSR	0.7605661	12.9
00061CSR	0.4631105	14.2
00062CSR	1.359926 	14.9
00064CSR	1.792058 	19.6
00065CSR	1.302063 	14.1
00067CSR	1.280925 	NA
00070CSR	1.497982 	NA
00071CSR	1.094421 	10.2
00103CSR	1.280925 	14.2
01003CSR	1.484639 	14.1
01005CSR	1.322219 	11.8
01007CSR	1.491362 	11.6
01012CSR	0.9809768	12.6
01013CSR	0.6821021	 9.9
01016CSR	1.456655 	NA
01021CSR	1.381601 	10.8
01023CSR	1.497982 	17.3
01025CSR	1.757324 	15.5
01027CSR	1.235288 	12.3
01031WSE	0        	NA
01032WSE	1.276341 	NA
01033WSE	1.468658 	NA
01037CSR	1.426744 	14.1
01039CSR	1.439265 	NA
01040WSE	0.8846066	NA
01041CSR	1.431364 	NA
01041WSE	1.556303 	NA
01050CSR	1.778496 	16  
01051CSR	1.410978 	16.3
01056CSR	1.156347 	13.3
01059CSR	1.094421 	13.4
01062CSR	1.156347 	NA
01065CSR	1.410978 	NA
01066CSR	0.4631105	13.6
01067CSR	0        	13.1
01069CSR	0.6821021	13.9
01072CSR	1.503914 	NA
01076CSR	0.9354593	16.9
01082CSR	1.581413 	10.3
01085CSR	0.9354593	11.7
01086CSR	1.341482 	15.5
01089CSR	1.280925 	NA
01090CSR	0.4686054	10.9
01093CSR	1.302063 	11.9
01094CSR	0.9354593	12.6
01095CSR	0.5862657	NA
01096CSR	1.811639 	16.4
01102CSR	1.865583 	NA
01103CSR	1.322219 	20.6
01104CSR	0.6921035	 8.6
01105CSR	0.8670923	11.7
01106CSR	1.184286 	 7.9
01108CSR	0.2905646	13  
01109CSR	0.6821021	NA
01110CSR	0.5862657	 8.2
01111CSR	1.322219 	14.8
01112CSR	0.6821021	13.9
01114CSR	1.322219 	14.3
01115CSR	0.9809768	14.7
01116CSR	1.022173 	14.6
01117CSR	1.022173 	NA
01118CSR	1.45001  	14.3
01119CSR	1.431364 	13.1
99001CSR	1.00393  	NA
99001REM	1.550784 	14.7
99002CSR	0.8098657	10.6
99002REM	1.152519 	12.4
99003REM	1.322219 	 7.3
99004REM	1.191603 	11.4
99005REM	1.191603 	14.7
99006CSR	1.137584 	13.2
99006REM	0.9968868	12.4
99007REM	0.8098657	12.1
99008REM	0.67244  	 9.3
99009REM	0.6661775	 8.9
99010CSR	1.075879 	 9.8
99010REM	1.102662 	12.7
99011CSR	1.683702 	12.5
99011REM	0.6661775	15.1
99012CSR	1.239641 	16.6
99012REM	0.8098657	15.1
99013CSR	1.191603 	NA
99013REM	0.8098657	NA
99014CSR	1.503914 	11  
99014REM	1.239641 	12.2
99015CSR	1.391577 	11.6
99016CSR	1.478435 	NA
