SITE.ID	sed	temp
WAZP99-0512-0-1	1.918579 	23.2
WAZP99-0539-0-1	1.410978 	21.3
WAZP99-0539-0-2	1.184286 	19.6
WAZP99-0545-0-1	1.302063 	18.6
WAZP99-0551-0-1	1.113943 	23.8
WAZP99-0551-0-2	1.094421 	24.2
WAZP99-0551-1-1	1.535716 	25.4
WAZP99-0551-1-2	1.094421 	24.5
WAZP99-0568-0-1	1.686806 	26  
WAZP99-0569-0-1	0.7605661	13.3
WAZP99-0590-2-1	1.341482 	21.4
WAZP99-0598-0-1	0.7605661	12.5
WAZP99-0605-0-1	1.280925 	24.5
WAZP99-0619-0-1	1.539751 	22.7
WAZP99-0632-1-1	1.497982 	22.9
WAZP99-0632-1-2	1.484639 	26.2
WAZP99-0632-2-1	1.523499 	19.4
WAZP99-0632-2-2	1.456655 	21.2
WAZP99-0639-1-1	1.660504 	10.6
WAZP99-0648-1-1	0.845098 	14.7
WAZP99-0669-1-1	1.559165 	14.9
WAZP99-0681-1-1	1.377618 	28.5
WAZP99-0687-1-1	1.377618 	19.6
WAZP99-0712-2-1	1.871184 	27  
WAZP99-0716-2-1	1.394618 	22.3
WAZP99-0716-2-2	1.359926 	25.5
WAZP99-0722-2-1	1.410978 	11.6
WAZP99-0768-2-1	1.394618 	21.9
WAZP99-0783-2-1	1.126487 	18.2
WAZP99-0828-2-1	1.184286 	18.4
WAZP99-0851-2-1	1.431364 	29.1
WCAP99-0501-1-1	1.426744 	18.2
WCAP99-0503-0-1	0.5862657	 8.3
WCAP99-0505-0-1	0        	18.8
WCAP99-0505-0-2	0.2925968	14.2
WCAP99-0505-1-1	0.6821021	13.6
WCAP99-0506-0-1	1.094421 	13.4
WCAP99-0509-1-1	1.210535 	20.6
WCAP99-0512-1-1	1.235288 	22.4
WCAP99-0515-0-1	1.210535 	14.9
WCAP99-0521-0-1	0.7605661	15  
WCAP99-0527-1-1	0.8269998	18.8
WCAP99-0534-0-1	1.592124 	20.4
WCAP99-0535-0-1	1.742613 	16.1
WCAP99-0536-0-1	0.8269998	21.5
WCAP99-0540-0-1	1.854161 	25.3
WCAP99-0542-0-1	1.660504 	16.1
WCAP99-0547-0-1	1.991859 	20.3
WCAP99-0550-0-1	1.570432 	14.9
WCAP99-0552-0-1	1.235288 	16.3
WCAP99-0558-0-1	1.98314  	16.5
WCAP99-0560-0-1	1.410978 	17.5
WCAP99-0563-1-1	1.258706 	14.2
WCAP99-0574-0-1	0.9542425	14.5
WCAP99-0583-1-1	1.025936 	14.9
WCAP99-0587-0-1	0.6821021	13.4
WCAP99-0590-0-1	1.177897 	16.9
WCAP99-0592-0-1	0.9457682	 9.4
WCAP99-0593-1-1	0.8269998	13.1
WCAP99-0598-2-1	0.2905646	10.5
WCAP99-0600-0-1	1.210535 	16.5
WCAP99-0604-0-1	0.2905646	10.8
WCAP99-0605-0-1	0.9391351	17.4
WCAP99-0606-0-1	0.9809768	15.1
WCAP99-0613-0-1	0.4631105	15.3
WCAP99-0619-0-1	1.405593 	11.6
WCAP99-0624-1-1	1.811639 	23.5
WCAP99-0625-1-1	0.5862657	13.7
WCAP99-0629-2-1	1.341482 	13  
WCAP99-0654-1-1	1.970258 	18.4
WCAP99-0658-1-1	1.094421 	10  
WCAP99-0662-1-1	1.757324 	12.1
WCAP99-0669-1-1	0.9354593	13.6
WCAP99-0674-2-1	1.497982 	11  
WCAP99-0677-2-1	1.322219 	15.7
WCAP99-0679-2-1	1.547599 	11.4
WCAP99-0682-2-1	1.426744 	 9.3
WCAP99-0683-2-1	0.5862657	15.6
WCAP99-0742-1-1	1.280925 	15.9
WCAP99-0744-1-1	0.8846066	 9.2
WCAP99-0746-1-1	0.9809768	18.9
WCAP99-0747-1-1	0.4631105	14.3
WCAP99-0748-1-1	0.5862657	18.5
WCAP99-0750-1-1	1.547599 	12.4
WCAP99-0755-1-1	0.7605661	12.7
WCAP99-0756-1-1	1.771552 	12.4
WCAP99-0756-1-2	1.750031 	 6.4
WCAP99-0756-2-1	1.632505 	13.9
WCAP99-0756-2-2	1.592124 	 4.3
WCAP99-0758-1-1	0.8846066	15.6
WCAP99-0759-1-1	1.602577 	11.1
WCAP99-0760-1-1	1.210535 	18.7
WCAP99-0764-2-1	1.632505 	24.3
WCAP99-0767-1-1	1.394618 	14.7
