SITE.ID	ABLABESMYIA	APEDILUM	BOREOCHLUS	BRILLIA	BRYOPHAENOCLADIUS	CARDIOCLADIUS	CHAETOCLADIUS	CHIRONOMUS	CLADOTANYTARSUS	CORYNONEURA	CRICOTOPUS	DIAMESA	EUKIEFFERIELLA	HELENIELLA	HETEROTRISSOCLADIUS	HYDROBAENUS	KRENOPELOPIA	KRENOSMITTIA	LARSIA	LIMNOPHYES	LOPESCLADIUS	MACROPELOPIA	METRIOCNEMUS	MICROPSECTRA	MICHROTENDIPES	MICROTENDIPES	NILOTANYPUS	PAGASTIA	PARAKIEFFERIELLA	PARAMETRIOCNEMUS	PARAPHAENOCLADIUS	PARATANYTARSUS	PARORTHOCLADIUS	PENTANEURA	PHAENOPSECTRA	POLYPEDILUM	POTTHASTIA	PSECTROTANYPUS	PSEUDODIAMESA	PSEUDORTHOCLADIUS	RADOTANYPUS	RHEOCRICOTOPUS	RHEOTANYTARSUS	STEMPELLINA	STEMPELLINELLA	STILOCLADIUS	SYNORTHOCLADIUS	TANYTARSUS	THIENEMANNIELLA	THIENEMANNIMYIA	TVETENIA	MICROPSECTRA.TANYTARSUS	PARAMERINA.ZAVRELIMYIA	SERGENTIA	ORTHOCLADIUS	AMPHIZOA	GYRINUS	AGABUS	OREODYTES	AMPUMIXIS	CLEPTELMIS	DUBIRAPHIA	HETERLIMNIUS	LARA	NARPUS	OPTIOSERVUS	ORDOBREVIA	ZAITZEVIA	C..BARR.UNDESCRIBED	BRYCHIUS	HALIPLUS	AMETOR	BEROSUS	ENOCHRUS	HELOPHORUS	CYMBIODYTA	CRENITIS	ANACAENA	HYDROBIUS	ACNEUS	EUBRIANAX	PSEPHENUS	OCHTHEBIUS	HYDRAENA	CAECIDOTEA	HYALELLA	GAMMARUS	PACIFASTACUS	DEUTEROPHLEBIA	ATHERIX	LIMNOPHORA	GLUTOPS	PTYCHOPTERA	THAUMALEA	AGATHON	BLEPHARICERA	PHILORUS	BEZZIA.PALPOMYIA	ATRICHOPOGON	FORCIPOMYIA	CULICOIDES	DIXA	DIXELLA	MERINGODIXA	CHELIFERA	CLINOCERA	HEMERODROMIA	OREOGETON	WIEDEMANNIA	MARUINA	PERICOMA	PSYCHODA	PROSIMULIUM	SIMULIUM	CALOPARYPHUS	ANTOCHA	MOLOPHILUS	DICRANOTA	CRYPTOLABIS	HESPEROCONOPA	HEXATOMA	PILARIA	LIMNOPHILA	LIMONIA	PEDICIA	RHABDOMASTIX	TIPULA	GONOMYIA	BAETIS	CENTROPTILUM	DIPHETOR	LABIOBAETIS	ACENTRELLA	PROCLOEON	FALLCEON	CAENIS	ATTENELLA	CAUDATELLA	DRUNELLA	EPHEMERELLA	SERRATELLA	TIMPANOGA	CINYGMA	CINYGMULA	EPEORUS	HEPTAGENIA	NIXE	NIXE.LEUCOCRUTA	IRONODES	RHITHROGENA	PARALEPTOPHLEBIA	AMELETUS	TRICORYTHODES	FERRISIA	FLUMINICOLA	POTAMOPYRGUS	FOSSARIA	PHYSELLA	PHYSA	PROMENETUS	JUGA	GERRIS	LEBERTIA	ESTELLOXUS	WANDESIA	PROTZIA	ALBERTATHYAS	SPERCHON	SPERCHONOPSIS	TORRENTICOLA	TESTUDACARUS	HYGROBATES	ATRACTIDES	MIDEOPSIS	OROHERMES	SIALIS	HYDRA	POLYCELIS	PROSTOMA	CORDULEGASTER	OCTOGOMPHUS	OPHIOGOMPHUS	PISIDIUM	CORBICULA	KATHROPERLA	PARAPERLA	PLUMIPERLA	SUWALLIA	SWELTSA	DESPAXIA	MOSELIA	NEMOURA	AMPHINEMURA	MALENKA	PODMOSTA	PROSTOIA	SOYEDINA	VISOKA	ZAPADA	CALINEURIA	CLAASSENIA	DORONEURIA	HESPEROPERLA	CULTUS	DIURA	ISOPERLA	KOGOTUS	MEGARCYS	PERLINODES	SETVENA	SKWALA	SOLIPERLA	YORAPERLA	SIERRAPERLA	PTERONARCELLA	PTERONARCYS	HETEROPLECTRON	HELICOPSYCHE	LEPIDOSTOMA	AMIOCENTRUS	RHYACOPHILA	BRACHYCENTRUS	MICRASEMA	APATANIA	PEDOMOECUS	AGAPETUS	ANAGAPETUS	GLOSSOSOMA	PROTOPTILA	ARCTOPSYCHE	PARAPSYCHE	CHEUMATOPSYCHE	HYDROPSYCHE	PALAEGAPETUS	AGRAYLEA	HYDROPTILA	LEUCOTRICHIA	NEOTRICHIA	OCHROTRICHIA	METRICHIA.SP.	MYSTACIDES	OECETIS	CERACLEA	PSEUDOSTENOPHYLAX	ALLOCOSMOECUS	CRYPTOCHIA	DESMONA	DICOSMOECUS	ECCLISOCOSMOECUS	ECCLISOMYIA	GOERA	HYDATOPHYLAX	ONOCOSMOECUS	PHILOCASCA	PSYCHOGLYPHA	NEROPHILUS	NAMAMYIA	DOLOPHILODES	WORMALDIA	POLYCENTROPUS	PSYCHOMYIA	NEOTHREMMA	NEOPHYLAX	OLIGOPHLEBODES	FARULA	GUMAGA
00001CSR	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  0	12	 0	  1	 0	  0	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  0	  0	 0	  0	 0	0	  0	0	 0	 0	0	 0	  2	0	  0	0	  0	 0	0	 0	  0	3	 0	0	0	0	0	 10	 0	  0	0	 0	0	0	0	 0	 0	  0	 0	 0	 0	  3	  0	  0	 0	 0	0	 0	  0	  7	 0	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	 29	 1	  0	0	  9	 0	0	0	 0	 0	  8	 0	0	  0	 0	 0	 0	 2	  0	 0	 0	0	 0	 0	  0	0	 0	  0	 0	0	  3	 0	  0	 0	 1	  0	0	 0	 0	  0	0	 0	 0	 0	  0	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 0	 0	0	 0
00001REM	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 8	 0	 0	  5	 0	 0	  4	 4	  9	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 3	 0	 0	0	0	0	 0	0	0	0	  0	  0	 0	  0	 0	0	  0	0	 1	 0	0	 0	  7	0	  0	0	  3	 0	0	 0	  0	0	 0	0	0	0	0	126	 0	  0	0	 0	0	0	0	 1	 0	 10	 0	 8	 0	  0	  0	 75	 0	 0	0	 3	 91	  5	 0	0	0	 0	 0	 0	0	 0	 0	  4	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 1	 0	 0	  0	 2	  0	0	 10	 0	0	0	 0	 0	  1	 3	0	  0	 6	 0	 0	 0	  0	 0	 0	0	 0	 0	  1	0	 0	  0	 0	0	  0	 0	 15	 0	 8	  0	0	 0	 0	 23	0	 8	 0	 0	  3	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	20	 0	 0	 0	 1	 0	0	 0
00001SPS	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  0	 0	 1	 67	 0	 33	0	2	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  0	  0	 0	  0	 0	0	  0	0	 0	 5	0	 0	  6	0	  9	0	  0	 0	0	 4	  0	0	 0	0	0	0	0	 49	 0	  5	0	 3	0	0	0	 0	 0	  2	 1	 3	 0	  0	  0	  0	 0	 0	0	 0	 16	  4	 0	0	0	 0	 0	 0	0	 0	 0	  0	1	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	  1	 0	  0	0	  0	 0	0	0	 0	 0	 14	 4	0	  0	 2	 0	 0	 0	  0	 0	 3	0	 2	 0	  0	0	 0	  0	 0	0	  0	 0	  4	 0	 8	  0	0	 0	 0	 11	0	 0	 0	 0	  5	0	 0	 1	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 1	 0	0	 0
00001WSE	0	0	1	  3	0	0	0	0	0	 1	 3	1	 6	0	0	0	0	2	0	0	 0	0	0	  5	0	0	0	 8	0	 3	4	0	1	0	 0	 0	 3	0	0	1	 0	 1	 0	0	 0	0	0	 0	 1	0	20	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  0	 0	 0	  0	 0	  0	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 1	 0	 0	0	0	0	 0	0	0	0	  8	  0	 0	  2	 1	0	  0	0	 0	 1	0	 0	  0	0	  0	0	  1	 0	1	 0	  0	0	 0	0	0	0	0	  1	 0	  0	0	 0	0	0	0	 0	24	  3	44	 0	 0	  2	 48	  1	 0	 0	0	 4	 12	 11	14	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	4	5	0	0	0	 0	0	0	3	0	0	 0	 0	13	 0	0	0	0	 0	0	  0	 0	 0	 0	 17	 0	  0	1	  0	 0	0	0	 0	 2	 89	 0	0	  0	 0	 0	 0	 0	  0	 0	 0	1	 0	 0	 64	0	 0	  0	 0	0	  0	 0	 48	 0	 0	  0	0	 0	 1	  0	0	 0	 4	 0	  0	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 2	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 1	 0	 0	0	 0
00002CSR	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 10	 0	 4	  0	 0	 22	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  0	  0	 0	  0	 3	0	  0	0	 0	 0	0	 0	  5	0	  2	0	  0	 0	0	 0	  0	0	 0	0	0	0	0	104	 0	 10	0	 0	0	0	0	 0	 0	 17	 0	33	 0	  0	 40	 97	 0	 0	0	 0	  1	  3	 3	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 1	 11	 0	  0	0	 11	 0	0	0	 0	 1	  0	 1	0	  0	 6	 0	 0	 0	  1	 0	 0	0	 0	 0	  0	0	 0	  0	 0	9	  0	 0	 18	 0	 0	  2	0	 0	 0	  7	0	 0	 0	 0	  0	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	16	 0	 0	 0	 3	 0	0	 0
00002REM	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 2	 0	 0	  4	 0	 1	  2	 0	  4	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  0	  0	 0	  3	 0	0	  0	0	 0	 0	0	 0	 96	0	  0	0	  1	 0	0	 0	  0	0	 0	0	0	0	0	189	 0	  1	0	 1	0	0	0	 1	 0	 68	 0	11	 0	  0	  3	 13	 0	 0	0	 1	 85	  1	 1	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	1	0	 0	0	  0	 0	 0	 1	  0	 0	  0	0	  0	 0	0	0	 0	 0	  2	 8	0	  0	12	 0	 0	 0	  0	 0	 0	0	 0	 0	  0	0	 0	  0	 0	0	  0	 0	 10	 0	 3	  0	0	 2	 0	 22	0	 3	 0	 0	  2	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	11	 0	 0	 0	 1	 0	0	 0
00002SPS	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  0	 0	 2	 29	 0	 21	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  0	  0	 0	  0	 0	0	  0	0	 0	 0	0	29	174	0	 23	0	  1	 0	0	 0	  0	0	 0	0	0	0	0	 44	 0	  0	0	 4	0	0	0	 0	 0	  5	 0	 7	 0	  0	  0	  0	 0	 0	0	 1	  6	  0	 0	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	  8	 0	  0	0	  0	 0	0	0	 0	 0	  5	 3	0	  0	 0	 0	 0	 0	  0	 0	 2	0	 0	 0	  0	0	 0	  1	 0	0	 17	 0	  6	 5	 3	  0	0	 0	 0	  4	0	18	 0	 0	 35	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	10	 1	 0	 0	 0	 6	 0	0	 0
00002WSE	0	0	0	  0	0	0	0	0	0	 0	 0	0	 3	0	0	0	0	0	0	0	 0	0	0	  2	0	0	0	 0	0	 0	0	0	0	0	 0	 1	 1	0	0	0	 0	 0	 0	0	 6	0	0	 0	 0	0	 1	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  0	 0	 0	 19	 0	 28	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	1	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  0	  0	 0	  6	 0	0	  0	0	 0	 0	0	 0	171	0	  2	0	  1	 1	0	 1	  0	0	 0	0	0	0	0	 62	 0	  0	0	 1	0	0	0	 0	 0	  5	 0	 8	 0	  0	  6	 26	 0	 3	0	 0	  0	  0	 1	0	0	29	 0	 0	0	 0	 0	  4	0	 0	0	0	0	0	5	0	 1	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	  0	 0	  0	0	  0	 3	0	0	 0	 0	  1	 5	0	  0	 0	 0	 0	 0	  0	 0	 0	0	 0	 0	  0	0	 0	  1	 0	0	  0	 0	  5	 0	 0	  0	0	12	 0	 26	0	 0	 0	 0	  0	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 3	 0	 0	 0	 3	 0	0	 0
00003CSR	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  1	 0	 2	  5	 0	  9	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  1	  0	 0	  1	 0	0	  0	0	 0	 0	0	 0	  0	0	  0	0	  1	 0	0	 1	  0	0	 0	0	0	0	0	  1	 0	  2	0	 0	0	0	0	 0	 0	  0	 0	 0	 0	 44	  8	  1	 0	 0	0	11	  0	 34	 0	0	0	 0	 0	 0	0	 0	 0	 12	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	 23	 2	  0	0	 83	 0	0	0	 0	 1	  0	24	0	  6	 0	 0	 0	 3	  0	 0	 0	0	 0	 0	  4	0	 1	  0	 0	0	  2	 0	 17	 0	 4	 37	0	17	 0	 17	0	38	 9	 0	  0	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 2	 0	0	 0
00003REM	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  6	 0	 0	  0	 0	  1	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  0	  0	 0	  0	 0	0	  0	0	 0	 0	0	 0	  0	0	  0	0	  0	 0	0	 1	  0	0	 0	0	0	0	0	 31	 0	 13	0	 0	0	0	0	 5	 0	 25	 0	 1	 0	  0	  0	 32	 0	 0	0	 6	 28	  0	 4	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	  0	 0	  0	0	  3	 0	0	0	 0	 8	  1	 3	0	  4	 0	 0	 0	 0	  0	 4	 0	0	 0	 0	  9	0	 0	  2	 0	0	  0	 0	 15	 0	 2	  0	0	 0	 0	  2	0	 0	15	 0	  0	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 2	 0	0	 0
