SITE.ID	ACENTRELLA	AMBRYSUS	CRICOTOPUS	FALLCEON	HELICOPSYCHE	HEMERODROMIA	HYDROPSYCHE	HYDROPTILA	LOPESCLADIUS	MICROCYLLOEPUS	PENTANEURA	PHYSA	POLYPEDILUM	PROSTOMA	PSEPHENUS	PSEUDOCHIRONOMUS	RHEOTANYTARSUS	SAETHERIA	SIMULIUM	SPERCHON	THIENEMANNIELLA	TRICORYTHODES	ARGIA	ATRACTIDES	ATRICHOPOGON	BAETIS	CALOPARYPHUS	CENTROPTILUM	CHEUMATOPSYCHE	CLADOTANYTARSUS	EUKIEFFERIELLA	ISONYCHIA	LIMNOPHYES	MARUINA	MICROTENDIPES	ORTHOCLADIUS	PARAKIEFFERIELLA	PARAMETRIOCNEMUS	PETROPHILA	PHAENOPSECTRA	SPERCHONOPSIS	TANYTARSUS	TORRENTICOLA	OECETIS	POLYCENTROPUS	CAENIS	GLOSSOSOMA	LARSIA	MICROPSECTRA	NIXE	OPTIOSERVUS	PARALEPTOPHLEBIA	PARATENDIPES	PISIDIUM	THIENEMANNIMYIA	TVETENIA	LEBERTIA	PROTZIA	CHELIFERA	FERRISSIA	RHEOCRICOTOPUS	OCHROTRICHIA	WORMALDIA	CORYNONEURA	DASYHELEA	CHIRONOMUS	DICROTENDIPES	LIMONIA	NILOTANYPUS	AMELETUS	ANTOCHA	BRILLIA	CLEPTELMIS	DICRANOTA	DIXA	DRUNELLA	EPEORUS	HEXATOMA	LEPIDOSTOMA	MALENKA	MICRASEMA	NARPUS	RHYACOPHILA	SWELTSA	ZAITZEVIA	NEOTRICHIA	APATANIA	CINYGMULA	HYDROBAENUS	PAGASTIA	HELICHUS	HYGROBATES	POTTHASTIA	RHABDOMASTIX	CARDIOCLADIUS	HYALELLA	ISOPERLA	WIEDEMANNIA	CRYPTOCHIRONOMUS	AGABUS	AGAPETUS	BRACHYCENTRUS	OPHIOGOMPHUS	TIPULA	ZAPADA	RHITHROGENA	SYNORTHOCLADIUS	PROSIMULIUM	NANOCLADIUS	HETEROTRISSOCLADIUS	NEOPHYLAX	SUWALLIA	STEMPELLINELLA	TESTUDACARUS	GUMAGA	CALINEURIA	DIPHETOR	EPHEMERELLA	EUPARYPHUS	LIMNOPHILA	SERRATELLA	SIALIS	TINODES	AMIOCENTRUS	ARCTOPSYCHE	ATHERIX	CAUDATELLA	DOLOPHILODES	OLIGOPHLEBODES	PTERONARCYS	SKWALA	CLINOCERA	ORDOBREVIA	POLYCELIS	AMPUMIXIS	HESPEROPERLA	ECCLISOMYIA	IRONODES	LARA	EUBRIANAX	NEOPLASTA	PARAPSYCHE	PTERONARCELLA	DICOSMOECUS	DORONEURIA	VISOKA	HYDRAENA	HELENIELLA	LACCOBIUS	OREODYTES	CINYGMA	DESPAXIA	HETERLIMNIUS	MERINGODIXA	YORAPERLA	GLUTOPS	OREOGETON	PARATANYTARSUS	ANAGAPETUS	STEMPELLINA	KRENOSMITTIA	MOSELIA	GYRAULUS	DIAMESA	RADOTANYPUS	PARAPHAENOCLADIUS	MEGARCYS	ATTENELLA	PSYCHOGLYPHA	CHAETOCLADIUS	PARORTHOCLADIUS	NEOTHREMMA	DUBIRAPHIA	STENELMIS
WAZP99-0512-0-1	 3	 1	102	116	  3	 2	  4	 17	 5	  9	 2	  2	  2	 7	 1	 1	  2	 1	  6	  8	 3	105	 0	 0	 0	   0	0	 0	  0	  0	  0	 0	 0	 0	  0	0	  0	 0	 0	 0	 0	  0	 0	 0	0	 0	  0	 0	  0	 0	  0	  0	 0	 0	  0	  0	 0	 0	 0	 0	  0	 0	 0	 0	 0	 0	  0	0	 0	 0	 0	  0	  0	 0	 0	  0	  0	 0	  0	  0	  0	 0	 0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	0	 0	  0	  0	0	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0539-0-1	 2	 2	 10	  5	  0	 4	 12	  8	 0	  9	 1	  0	 12	 0	 7	 6	  8	 0	 21	 86	 2	  0	 1	 3	 1	  10	1	 1	 72	  4	  3	25	 1	 1	  8	7	  6	 2	 7	 1	 1	 14	 4	 0	0	 0	  0	 0	  0	 0	  0	  0	 0	 0	  0	  0	 0	 0	 0	 0	  0	 0	 0	 0	 0	 0	  0	0	 0	 0	 0	  0	  0	 0	 0	  0	  0	 0	  0	  0	  0	 0	 0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	0	 0	  0	  0	0	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0539-0-2	 6	 0	 30	  7	  1	 5	 15	 16	 0	 15	 1	  0	 10	 4	16	 1	 15	 0	  0	 50	 1	  0	 2	 0	 0	  29	0	 0	 76	  1	  2	28	 0	 0	  0	3	  1	 0	 6	 0	 0	 22	 3	 2	1	 0	  0	 0	  0	 0	  0	  0	 0	 0	  0	  0	 0	 0	 0	 0	  0	 0	 0	 0	 0	 0	  0	0	 0	 0	 0	  0	  0	 0	 0	  0	  0	 0	  0	  0	  0	 0	 0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	0	 0	  0	  0	0	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0545-0-1	 0	 0	  3	122	  0	 0	  0	  0	 0	  0	 1	  1	  0	 0	 0	 0	  1	 2	  0	  0	 1	  2	 0	 0	 0	   6	0	 0	 15	  0	  5	 0	 0	 0	  0	0	  0	 0	 0	 2	 1	  0	 0	 0	0	30	  1	10	 16	 5	  1	  3	 1	 3	 25	  3	 0	 0	 0	 0	  0	 0	 0	 0	 0	 0	  0	0	 0	 0	 0	  0	  0	 0	 0	  0	  0	 0	  0	  0	  0	 0	 0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	0	 0	  0	  0	0	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0551-0-1	 0	 0	  0	  0	  0	 0	  0	  0	 0	 57	 0	 57	  0	 0	 0	 0	109	 0	  8	  0	 0	  0	 0	 1	 0	   0	2	 0	 30	  0	  0	 0	 0	 0	  0	0	  0	 0	 1	 0	 0	  0	74	 0	0	 0	  0	 0	  0	 0	  0	  0	 0	 0	  0	  0	 1	 1	 0	 0	  0	 0	 0	 0	 0	 0	  0	0	 0	 0	 0	  0	  0	 0	 0	  0	  0	 0	  0	  0	  0	 0	 0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	0	 0	  0	  0	0	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0551-0-2	 0	 0	  2	  0	  0	 0	  2	  0	 0	 43	 0	 33	  1	11	 0	 1	 60	 0	 15	  0	 0	  0	 0	 1	 1	   0	9	 0	 51	  0	  0	 0	 0	 0	  0	0	  0	 0	 0	 0	 0	  0	70	 0	0	 0	  0	 0	  0	 0	  0	  0	 0	 0	  0	  0	 1	 0	 2	 1	  1	 0	 0	 0	 0	 0	  0	0	 0	 0	 0	  0	  0	 0	 0	  0	  0	 0	  0	  0	  0	 0	 0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	0	 0	  0	  0	0	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0551-1-1	 0	 0	  0	  0	 50	 0	 29	  3	 0	 59	 0	  3	  0	13	 0	 0	 13	 0	 68	 26	 4	  0	 8	 0	 0	  18	0	 0	 32	  0	  6	 0	 0	 3	  0	0	  0	 0	 1	 0	 0	  0	 0	 0	0	 0	  0	 0	  0	 0	  0	  0	 0	 0	  0	  0	 0	 0	 0	 0	  1	12	20	 0	 0	 0	  0	0	 0	 0	 0	  0	  0	 0	 0	  0	  0	 0	  0	  0	  0	 0	 0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	0	 0	  0	  0	0	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0551-1-2	 0	 0	  0	  9	 78	 0	127	  2	 0	 59	 0	  4	 17	 7	 0	 1	 13	 0	  0	 17	 3	  0	 2	 0	 0	  11	6	 0	 72	  0	  4	 0	 0	 3	  0	0	  0	 0	 4	 0	 0	  0	 3	 0	1	 0	  0	 0	  0	 0	  0	  0	 0	 0	  0	  0	 0	 0	 0	 0	  9	16	 2	 2	 1	 0	  0	0	 0	 0	 0	  0	  0	 0	 0	  0	  0	 0	  0	  0	  0	 0	 0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	0	 0	  0	  0	0	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0568-0-1	 0	 4	 13	 11	  6	 3	  0	  1	 0	  5	 0	  4	  3	 0	 0	 1	233	 0	  0	 18	 8	  3	 0	 2	 1	   0	0	 0	  0	  0	  0	 0	 0	 0	  0	0	  0	 2	 8	 0	 0	  4	 0	 0	0	 0	  0	 0	  0	 0	  0	  0	 4	 0	  4	  0	 5	 0	 0	 0	  0	 0	 0	 0	 0	 2	 22	1	 2	 0	 0	  0	  0	 0	 0	  0	  0	 0	  0	  0	  0	 0	 0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	0	 0	  0	  0	0	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0569-0-1	 0	 0	  0	  0	  0	 0	  3	  0	 0	  0	 3	  0	  0	 0	16	 0	  1	 0	 11	  0	 1	  0	 0	 0	 0	  84	0	 2	  0	  0	  2	 0	 0	 0	  1	0	  0	 0	 0	 2	 1	  7	 3	 0	2	 0	  0	 0	 20	 0	 66	  1	 0	 5	  4	  1	 0	 2	 4	 0	  0	 0	 0	 0	 0	 0	  0	0	11	 2	 6	 13	  1	 3	 6	  3	 11	 3	 38	  1	  4	 1	 2	 2	 48	 0	 0	  0	 0	 0	0	 0	 0	0	 0	  0	  0	0	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
