row,int,float,bool1,bool2,bool3,stri,strf,string,string_accents,string_torture,date,datetime,datetimezone,nil_bool,nil_str,row2
1,1,1.1,true,yes,1,"1","1.1","one","Café","easy",2000-01-01,2000-01-01T12:34:56,2000-01-01T12:34:56+01:00,,,1
2,2,2.2,false,no,0,"2","2.2","two","caffè","\"dquoted\"",2000-01-02,2000-01-02T12:34:56,2000-01-02T12:34:56+02:00,,,2
3,,,,,,,,,,,,,,,,3
4,4,4.4,false,no,0,"4","4.4","four","Noël","'squoted'",2000-01-04,2000-01-04T12:34:56,2000-01-04T12:34:56+04:00,,,4
5,5,5.5,true,yes,1,"5","5.5","five","€£$","with\\escape",2000-01-05,2000-01-05T12:34:56,2000-01-05T12:34:56+05:00,,,5
6,6,6.6,false,no,0,"6","6.6","six","schloß","",2000-01-06,2000-01-06T12:34:56,2000-01-06T12:34:56+06:00,,,6
7,7,7.7,true,yes,1,"7","7.7","seven","façade","NULL",2000-01-07,2000-01-07T12:34:56,2000-01-07T12:34:56+07:00,,,7
8,8,8.8,false,no,0,"8","8.8","eight","Trompe-l'œil","n/a",2000-01-08,2000-01-08T12:34:56,2000-01-08T12:34:56+08:00,,,8
9,9,9.9,true,yes,1,"9","9.9","nine","Søren","no",2000-01-09,2000-01-09T12:34:56,2000-01-09T12:34:56+09:00,,,9
10,10,10.10,false,no,0,"10","10.10","ten","à","tab>	<",2000-01-10,2000-01-10T12:34:56,2000-01-09T12:34:56+10:00,,,10
11,11,11.11,true,yes,1,"11","11.11","eleven","naïve","&",2000-01-11,2000-01-11T12:34:56,2000-01-09T12:34:56+11:00,,,11
12,12,12.12,false,no,0,"12","12.12","twelve","Rhône","&amp;",2000-01-12,2000-01-12T12:34:56,2000-01-09T12:34:56+12:00,,,12
13,13,13.13,true,yes,1,"13","13.13","thirteen","jalapeños","cpt ,|	z",2000-01-13,2000-01-13T12:34:56,2000-01-09T12:34:56-01:00,,,13
