row,int,float,bool1,bool2,bool3,stri,strf,string,string_accents,string_torture,date,datetime,datetimezone,nil_bool,nil_str,row2
1,1,1.1,1,1,1,1,1.1,"one","Café","easy",2000-01-01 00:00:00,2000-01-01 12:34:56,2000-01-01 12:34:56,,,1
2,2,2.2,0,0,0,2,2.2,"two","caffè","\"dquoted\"",2000-01-02 00:00:00,2000-01-02 12:34:56,2000-01-02 12:34:56,,,2
3,,,,,,,,,,,,,,,,3
4,4,4.4,0,0,0,4,4.4,"four","Noël","'squoted'",2000-01-04 00:00:00,2000-01-04 12:34:56,2000-01-04 12:34:56,,,4
5,5,5.5,1,1,1,5,5.5,"five","€£$","with\\escape",2000-01-05 00:00:00,2000-01-05 12:34:56,2000-01-05 12:34:56,,,5
6,6,6.6,0,0,0,6,6.6,"six","schloß","",2000-01-06 00:00:00,2000-01-06 12:34:56,2000-01-06 12:34:56,,,6
7,7,7.7,1,1,1,7,7.7,"seven","façade","NULL",2000-01-07 00:00:00,2000-01-07 12:34:56,2000-01-07 12:34:56,,,7
8,8,8.8,0,0,0,8,8.8,"eight","Trompe-l'œil","n/a",2000-01-08 00:00:00,2000-01-08 12:34:56,2000-01-08 12:34:56,,,8
9,9,9.9,1,1,1,9,9.9,"nine","Søren","no",2000-01-09 00:00:00,2000-01-09 12:34:56,2000-01-09 12:34:56,,,9
10,10,10.1,0,0,0,10,10.1,"ten","à","tab>	<",2000-01-10 00:00:00,2000-01-10 12:34:56,2000-01-10 12:34:56,,,10
11,11,11.11,1,1,1,11,11.11,"eleven","naïve","&",2000-01-11 00:00:00,2000-01-11 12:34:56,2000-01-11 12:34:56,,,11
12,12,12.12,0,0,0,12,12.12,"twelve","Rhône","&amp;",2000-01-12 00:00:00,2000-01-12 12:34:56,2000-01-12 12:34:56,,,12
13,13,13.13,1,1,1,13,13.13,"thirteen","jalapeños","cpt ,|	z",2000-01-13 00:00:00,2000-01-13 12:34:56,2000-01-13 12:34:56,,,13
