index,evennulls,oddnulls,evens,odds,evenreals,oddreals,evenstr,oddstr,elevens,binnedindex,binnedodds,basedate,evendates
0,,true,0,,0.0,,"zero",,"zero",1,,1970-01-01,1970-01-01T00:00:00
1,1,,,1,,1.0,,"one","eleven",2,1,1970-01-02,
2,,true,2,,2.0,,"two",,"twenty two",3,,1970-01-03,1970-01-03YT00:00:02
3,1,,,3,,3.0,,"three","thirty three33",4,3,1970-01-04,
4,,true,4,,4.0,,"four",,"forthy four",5,,1970-01-05,1970-01-05T00:00:04
5,1,,,5,,5.0,,"five","fifty five",6,5,1970-01-06,
6,,true,6,,6.0,,"six",,"sixty six",7,,1970-01-07,1970-01-07T00:00:06
7,1,,,7,,7.0,,"seven","seventy seven",8,7,1970-01-08 00:00:00,
8,,true,8,,8.0,,"eight",,"eighty eight",9,,1970-01-09,1970-01-09T00:00:08
9,1,,,9,,9.0,,"nine","ninety nine",10,9,1970-01-10 00:00:00,
